locationID,last_pollinator,state,county,population,areasqkm,geometry
1090390,NA,California,Marin,252409,2145.00705216,"c(-122.502404, 37.91219)"
1090480,NA,California,Alameda,1510271,2126.53346001,"c(-122.2710822, 37.7741914)"
1090700,Unknown,North Carolina,Cherokee,27444,1208.65923084,"c(-84.274117, 35.132899)"
1091090,Unknown,Indiana,Franklin,23087,1012.81412278,"c(-85.242005, 39.365965)"
1091220,Unknown,California,San Luis Obispo,269637,9364.13168078,"c(-120.6378193, 35.4573857)"
1092220,Unknown,California,San Luis Obispo,269637,9364.13168078,"c(-120.6378193, 35.4573857)"
1093250,Unknown,California,Alameda,1510271,2126.53346001,"c(-122.219122, 37.840764)"
1093630,Unknown,California,Alameda,1510271,2126.53346001,"c(-122.287653, 37.870655)"
1094090,Unknown,New York,Monroe,744344,3539.73945392,"c(-77.842732, 43.1143793)"
1094150,Unknown,New York,Niagara,216469,2951.72278849,"c(-78.680999, 43.1708209)"
1094730,NA,California,Alameda,1510271,2126.53346001,"c(-122.253344, 37.8418909)"
1094990,Unknown,Missouri,Jackson,674158,1596.31978705,"c(-94.591737, 38.965617)"
1098030,Unknown,California,San Mateo,718451,1919.07106529,"c(-122.298079, 37.51779)"
1098690,Other bee (describe in notes),California,Santa Clara,1781642,3377.48652193,"c(-121.962475, 37.358357)"
1099080,Unknown,California,Alameda,1510271,2126.53346001,"c(-122.186956, 37.789913)"
1100050,Unknown,California,Sonoma,483878,4578.94637683,"c(-122.683052, 38.441835)"
1100590,NA,California,Riverside,2189641,18915.1314678,"c(-117.436941, 33.930655)"
1101440,Unknown,California,Sonoma,483878,4578.94637683,"c(-122.802837, 38.529993)"
1101890,Unknown,California,Alameda,1510271,2126.53346001,"c(-122.186466, 37.79029)"
1102060,Unknown,New York,Madison,73442,1712.76220337,"c(-75.855838, 42.849579)"
1102080,Unknown,New York,Madison,73442,1712.76220337,"c(-75.855838, 42.849579)"
1102170,Unknown,California,Contra Costa,1049025,2082.50437745,"c(-122.0296465, 37.9407193)"
1102730,Unknown,Ohio,Richland,124475,1295.19182959,"c(-82.62374, 40.730472)"
1103440,Unknown,New York,Monroe,744344,3539.73945392,"c(-77.6795562, 42.97563546)"
1103590,Unknown,Oregon,Multnomah,735334,1204.81076098,"c(-122.636711, 45.546284)"
1103640,Unknown,Oregon,Multnomah,735334,1204.81076098,"c(-122.6931698, 45.5908734)"
